match_id,blue_team_full_name,red_team_full_name,win,start_time,gamelength,game,league,year
ESPORTSTMNT02_3057911,DRX,GAM Esports,blue,2022-10-15 21:53:58+08,1890,1,WLDs,2022
ESPORTSTMNT02_3057916,Top Esports,Rogue,blue,2022-10-15 22:49:22+08,1491,1,WLDs,2022
ESPORTSTMNT02_3057923,Top Esports,DRX,blue,2022-10-15 23:40:27+08,2047,1,WLDs,2022
ESPORTSTMNT02_3057927,DRX,Rogue,blue,2022-10-16 00:45:07+08,1486,1,WLDs,2022
ESPORTSTMNT02_3047802,100 Thieves,CTBC Flying Oyster,blue,2022-10-16 17:49:23+08,1899,1,WLDs,2022
ESPORTSTMNT02_3047839,CTBC Flying Oyster,Gen.G,red,2022-10-16 19:52:44+08,1570,1,WLDs,2022
ESPORTSTMNT02_3047847,Royal Never Give Up,100 Thieves,blue,2022-10-16 20:43:21+08,2360,1,WLDs,2022
ESPORTSTMNT02_3047861,Gen.G,100 Thieves,blue,2022-10-16 22:02:18+08,1511,1,WLDs,2022
ESPORTSTMNT02_3047878,CTBC Flying Oyster,Royal Never Give Up,red,2022-10-16 22:47:45+08,1906,1,WLDs,2022
ESPORTSTMNT02_3047898,Royal Never Give Up,Gen.G,red,2022-10-16 23:58:59+08,1639,1,WLDs,2022
ESPORTSTMNT02_3047918,Gen.G,Royal Never Give Up,blue,2022-10-17 00:59:06+08,1453,1,WLDs,2022
ESPORTSTMNT02_3048340,JD Gaming,Rogue,blue,2022-10-20 20:05:33+08,1759,1,WLDs,2022
ESPORTSTMNT02_3048354,Rogue,JD Gaming,red,2022-10-20 21:42:05+08,1779,2,WLDs,2022
ESPORTSTMNT02_3048364,Rogue,JD Gaming,red,2022-10-20 22:39:53+08,1985,3,WLDs,2022
ESPORTSTMNT02_3048468,T1,Royal Never Give Up,blue,2022-10-21 20:06:43+08,2289,1,WLDs,2022
ESPORTSTMNT02_3048492,Royal Never Give Up,T1,red,2022-10-21 21:56:08+08,2519,2,WLDs,2022
ESPORTSTMNT02_3048494,Royal Never Give Up,T1,red,2022-10-21 22:57:40+08,1592,3,WLDs,2022
ESPORTSTMNT02_3048616,Gen.G,Dplus KIA,blue,2022-10-22 20:06:03+08,1553,1,WLDs,2022
ESPORTSTMNT02_3048629,Dplus KIA,Gen.G,red,2022-10-22 21:47:03+08,2540,2,WLDs,2022
ESPORTSTMNT02_3048640,Dplus KIA,Gen.G,blue,2022-10-22 22:50:49+08,1567,3,WLDs,2022
ESPORTSTMNT02_3048649,Gen.G,Dplus KIA,red,2022-10-22 23:39:14+08,1469,4,WLDs,2022
ESPORTSTMNT02_3048651,Gen.G,Dplus KIA,blue,2022-10-23 00:27:37+08,2691,5,WLDs,2022
ESPORTSTMNT02_3048763,DRX,EDward Gaming,red,2022-10-23 20:09:58+08,2100,1,WLDs,2022
ESPORTSTMNT02_3048774,DRX,EDward Gaming,red,2022-10-23 21:55:43+08,2547,2,WLDs,2022
ESPORTSTMNT02_3048779,DRX,EDward Gaming,blue,2022-10-23 23:23:24+08,2520,3,WLDs,2022
ESPORTSTMNT02_3048784,EDward Gaming,DRX,red,2022-10-24 00:11:20+08,2322,4,WLDs,2022
ESPORTSTMNT02_3048787,EDward Gaming,DRX,red,2022-10-24 01:12:32+08,2273,5,WLDs,2022
ESPORTSTMNT02_3059738,T1,JD Gaming,red,2022-10-29 20:11:43+08,2392,1,WLDs,2022
ESPORTSTMNT02_3059755,T1,JD Gaming,blue,2022-10-29 22:00:20+08,2039,2,WLDs,2022
ESPORTSTMNT02_3059756,JD Gaming,T1,red,2022-10-29 22:56:14+08,1854,3,WLDs,2022
ESPORTSTMNT02_3059758,JD Gaming,T1,red,2022-10-29 23:50:51+08,1493,4,WLDs,2022
ESPORTSTMNT02_3059851,Gen.G,DRX,blue,2022-10-30 20:35:05+08,1779,1,WLDs,2022
ESPORTSTMNT02_3059852,DRX,Gen.G,blue,2022-10-30 21:49:10+08,2363,2,WLDs,2022
ESPORTSTMNT02_3059853,Gen.G,DRX,red,2022-10-30 22:50:09+08,1808,3,WLDs,2022
ESPORTSTMNT02_3059854,Gen.G,DRX,red,2022-10-30 23:48:39+08,2268,4,WLDs,2022
ESPORTSTMNT02_3080864,T1,DRX,blue,2022-11-05 23:41:08+08,1870,1,WLDs,2022
ESPORTSTMNT02_3080870,DRX,T1,blue,2022-11-06 01:30:25+08,2771,2,WLDs,2022
ESPORTSTMNT02_3080871,T1,DRX,blue,2022-11-06 02:37:51+08,1931,3,WLDs,2022
ESPORTSTMNT02_3080872,DRX,T1,blue,2022-11-06 03:30:08+08,1724,4,WLDs,2022
ESPORTSTMNT02_3080905,T1,DRX,red,2022-11-06 04:21:13+08,2529,5,WLDs,2022
ESPORTSTMNT04_2674408,TALON,DetonatioN FocusMe,blue,2023-05-02 12:10:39+08,1830,1,MSI,2023
ESPORTSTMNT04_2674421,DetonatioN FocusMe,TALON,red,2023-05-02 13:03:49+08,3012,2,MSI,2023
ESPORTSTMNT04_2675423,G2 Esports,LOUD,blue,2023-05-02 14:35:32+08,1966,1,MSI,2023
ESPORTSTMNT04_2674432,G2 Esports,LOUD,blue,2023-05-02 15:34:42+08,1212,2,MSI,2023
ESPORTSTMNT04_2675477,Bilibili Gaming,Movistar R7,blue,2023-05-03 12:09:16+08,1587,1,MSI,2023
ESPORTSTMNT04_2675493,Bilibili Gaming,Movistar R7,blue,2023-05-03 12:57:41+08,1418,2,MSI,2023
ESPORTSTMNT04_2673497,Golden Guardians,GAM Esports,blue,2023-05-03 13:56:58+08,1706,1,MSI,2023
ESPORTSTMNT04_2674502,GAM Esports,Golden Guardians,red,2023-05-03 14:46:33+08,1616,2,MSI,2023
ESPORTSTMNT04_2673551,Bilibili Gaming,Golden Guardians,blue,2023-05-04 12:10:03+08,1728,1,MSI,2023
ESPORTSTMNT04_2674557,Bilibili Gaming,Golden Guardians,red,2023-05-04 12:59:38+08,2388,2,MSI,2023
ESPORTSTMNT04_2674560,Bilibili Gaming,Golden Guardians,blue,2023-05-04 14:01:19+08,1806,3,MSI,2023
ESPORTSTMNT04_2675563,G2 Esports,TALON,blue,2023-05-04 15:04:34+08,2425,1,MSI,2023
ESPORTSTMNT04_2675572,TALON,G2 Esports,red,2023-05-04 16:07:05+08,1615,2,MSI,2023
ESPORTSTMNT04_2674592,GAM Esports,Movistar R7,red,2023-05-05 12:07:12+08,2135,1,MSI,2023
ESPORTSTMNT04_2675612,GAM Esports,Movistar R7,blue,2023-05-05 13:02:59+08,1969,2,MSI,2023
ESPORTSTMNT04_2675614,GAM Esports,Movistar R7,red,2023-05-05 13:55:28+08,1651,3,MSI,2023
ESPORTSTMNT04_2673610,LOUD,DetonatioN FocusMe,blue,2023-05-05 14:54:28+08,1448,1,MSI,2023
ESPORTSTMNT04_2674620,DetonatioN FocusMe,LOUD,red,2023-05-05 15:39:28+08,1557,2,MSI,2023
ESPORTSTMNT04_2675660,Golden Guardians,Movistar R7,blue,2023-05-06 11:08:03+08,1512,1,MSI,2023
ESPORTSTMNT04_2673677,Golden Guardians,Movistar R7,blue,2023-05-06 11:54:26+08,1398,2,MSI,2023
ESPORTSTMNT04_2674680,TALON,LOUD,blue,2023-05-06 12:44:13+08,2024,1,MSI,2023
ESPORTSTMNT04_2674687,LOUD,TALON,red,2023-05-06 13:40:28+08,1697,2,MSI,2023
ESPORTSTMNT04_2675712,Golden Guardians,TALON,blue,2023-05-07 11:09:55+08,2036,1,MSI,2023
ESPORTSTMNT04_2675729,TALON,Golden Guardians,red,2023-05-07 12:06:26+08,1945,2,MSI,2023
ESPORTSTMNT04_2675730,TALON,Golden Guardians,red,2023-05-07 13:02:20+08,2039,3,MSI,2023
ESPORTSTMNT04_2673828,Gen.G,G2 Esports,blue,2023-05-09 12:10:44+08,1646,1,MSI,2023
ESPORTSTMNT04_2674827,G2 Esports,Gen.G,red,2023-05-09 12:58:43+08,1186,2,MSI,2023
ESPORTSTMNT04_2674828,G2 Esports,Gen.G,blue,2023-05-09 13:39:08+08,1947,3,MSI,2023
ESPORTSTMNT04_2675809,Gen.G,G2 Esports,blue,2023-05-09 14:33:23+08,1768,4,MSI,2023
ESPORTSTMNT04_2674856,MAD Lions KOI,T1,red,2023-05-10 12:09:56+08,2009,1,MSI,2023
ESPORTSTMNT04_2674867,MAD Lions KOI,T1,red,2023-05-10 13:04:21+08,1463,2,MSI,2023
ESPORTSTMNT04_2673879,MAD Lions KOI,T1,red,2023-05-10 13:52:45+08,1010,3,MSI,2023
ESPORTSTMNT04_2673895,Cloud9,Bilibili Gaming,red,2023-05-11 12:11:38+08,2094,1,MSI,2023
ESPORTSTMNT04_2675883,Cloud9,Bilibili Gaming,red,2023-05-11 13:08:01+08,1866,2,MSI,2023
ESPORTSTMNT04_2675887,Bilibili Gaming,Cloud9,blue,2023-05-11 14:01:54+08,2077,3,MSI,2023
ESPORTSTMNT04_2674919,JD Gaming,Golden Guardians,blue,2023-05-12 12:10:06+08,1479,1,MSI,2023
ESPORTSTMNT04_2675920,Golden Guardians,JD Gaming,red,2023-05-12 12:56:13+08,1893,2,MSI,2023
ESPORTSTMNT04_2675921,Golden Guardians,JD Gaming,red,2023-05-12 13:49:21+08,1621,3,MSI,2023
ESPORTSTMNT04_2673966,Gen.G,T1,red,2023-05-13 11:08:22+08,2198,1,MSI,2023
ESPORTSTMNT04_2674965,Gen.G,T1,red,2023-05-13 12:06:32+08,1562,2,MSI,2023
ESPORTSTMNT04_2674967,T1,Gen.G,red,2023-05-13 12:53:59+08,1842,3,MSI,2023
ESPORTSTMNT04_2674968,Gen.G,T1,blue,2023-05-13 13:46:36+08,1800,4,MSI,2023
ESPORTSTMNT04_2673984,T1,Gen.G,blue,2023-05-13 14:37:45+08,1565,5,MSI,2023
ESPORTSTMNT04_2675959,MAD Lions KOI,G2 Esports,red,2023-05-13 15:31:12+08,1376,1,MSI,2023
ESPORTSTMNT04_2675967,G2 Esports,MAD Lions KOI,blue,2023-05-13 16:15:31+08,1712,2,MSI,2023
ESPORTSTMNT04_2675968,G2 Esports,MAD Lions KOI,blue,2023-05-13 17:05:01+08,1554,3,MSI,2023
ESPORTSTMNT04_2675986,JD Gaming,Bilibili Gaming,blue,2023-05-14 11:10:07+08,1476,1,MSI,2023
ESPORTSTMNT04_2676000,Bilibili Gaming,JD Gaming,red,2023-05-14 11:56:32+08,2376,2,MSI,2023
ESPORTSTMNT04_2676026,Bilibili Gaming,JD Gaming,red,2023-05-14 12:57:45+08,2289,3,MSI,2023
ESPORTSTMNT04_2677008,Golden Guardians,Cloud9,red,2023-05-14 14:03:08+08,1378,1,MSI,2023
ESPORTSTMNT04_2678013,Cloud9,Golden Guardians,blue,2023-05-14 14:48:06+08,1839,2,MSI,2023
ESPORTSTMNT04_2676033,Cloud9,Golden Guardians,red,2023-05-14 15:40:28+08,2104,3,MSI,2023
ESPORTSTMNT04_2678015,Cloud9,Golden Guardians,blue,2023-05-14 16:36:29+08,2102,4,MSI,2023
ESPORTSTMNT04_2679020,G2 Esports,Bilibili Gaming,red,2023-05-16 12:09:22+08,1788,1,MSI,2023
ESPORTSTMNT04_2677067,G2 Esports,Bilibili Gaming,blue,2023-05-16 12:59:34+08,2217,2,MSI,2023
ESPORTSTMNT04_2679033,G2 Esports,Bilibili Gaming,red,2023-05-16 13:58:58+08,2198,3,MSI,2023
ESPORTSTMNT04_2679035,G2 Esports,Bilibili Gaming,red,2023-05-16 14:57:35+08,1790,4,MSI,2023
ESPORTSTMNT04_2676104,Gen.G,Cloud9,blue,2023-05-17 12:08:45+08,1627,1,MSI,2023
ESPORTSTMNT04_2677099,Cloud9,Gen.G,red,2023-05-17 12:56:47+08,1554,2,MSI,2023
ESPORTSTMNT04_2679070,Cloud9,Gen.G,red,2023-05-17 13:42:59+08,1590,3,MSI,2023
ESPORTSTMNT04_2679094,JD Gaming,T1,blue,2023-05-18 12:07:59+08,1733,1,MSI,2023
